Question,Answer
"Who writes code, or does other technical work on your product? Was any of it done by a non-founder?","Anders built the prototype with AI-assisted coding (Claude Code). Unity scene on Quest 3. Python pipeline (muselsl, pylsl, websockets) streams Muse S EEG and heart rate into the scene. Biofeedback orb responds live.

Shaunak owns visual safety protocols, eye-tracking metrics, and ophthalmology engineering decisions. Prior Unity experience from a patient education tool.

All technical work by founders. No non-founder contributions."
"Are you looking for a cofounder?","Open to a software cofounder.

Current team:
- Anders Chan, clinical psychologist (UCLA postdoc, PsyD).
- Shaunak Bakshi, MD (Harvard), Director of Refractive Services at New England Vision and Vermont Eye Laser.

Therapy protocols and visual science in one team. Both building."
"Company name","Blind Spot. Backups: Foveal, Saccade."
"Describe what your company does in 50 characters or less","VR Therapy that Adapts to Your Nervous System (47 chars)"
"Company URL","thepsychology.ai/lab/blind-spot. Holding URL until rebrand."
"Demo","Saturday user test. Tamilyn wears Quest 3 + Muse S. She breathes slowly. The biofeedback orb expands and shifts red to green as her heart rate drops. Forest scene. Real EEG and HR streaming live."
"What is your company going to make?","Most VR therapy plays a video at you. No feedback. No adaptation. We close the loop.

Blind Spot reads EEG, HRV, and eye gaze, then changes the VR environment in real time based on what the body is doing. The system knows when you're stressed, calm, or avoiding eye contact. It responds.

Phase 1 (now): anxiety and performance. Practice job interviews and public speaking with live stress feedback. ACT in VR (breathing, defusion, mindfulness). D2C wellness, no FDA needed.

Phase 2: chronic pain, FDA De Novo on the EaseVRx playbook. Closed-loop biofeedback unlocks insurance reimbursement.

Phase 3+: PTSD, autism, depression, surgical training. Same engine, different module."
"Where do you live now, and where would the company be based after YC?","Boston (Anders), Vermont (Shaunak). Post-YC primary ops in NY. Pilot sites stay in Boston and Vermont."
"Explain your decision regarding location","Boston: Harvard, MGH, BU access for pilots. Vermont: Shaunak's surgical practice and Mass Eye and Ear network. NY post-YC for XR engineering talent and digital health investors."
"How far along are you?","Working prototype on Quest 3. Muse S streams EEG and HR via Lab Streaming Layer into Unity. Biofeedback orb responds live. First user test Saturday.

Next: eye-tracking integration and therapist dashboard.

Adjacent traction at thepsychology.ai (see revenue Q)."
"How long have each of you been working on this? How much of that has been full-time?","Anders: 7 months full-time on thepsychology.ai. 1 month part-time on the VR prototype. 6+ years clinical (chronic pain, anxiety, PTSD, substance use, gender health) at UCLA, NYU, Brooklyn outpatient. Three years eye-gaze tracking research at SUNY Old Westbury (2015-2018), validating eye tracking for accommodative interventions in students with disabilities. ACT chronic pain groups with sickle cell patients at Ronald Reagan UCLA.

Shaunak: 6+ years co-founding the MedVR Symposium and Hackathon for VR/AR in Healthcare. 2 years in Mass Eye and Ear's Disruptive Technology Lab. 1 week ramped on this prototype.

Both employed full-time clinically. Going full-time when funded."
