Domain,Not Ready (1),Getting Close (2),Ready (3),Confident (4),Your Rating,Exam Weight (%),Weighted Gap Score,Notes
Biological Bases,Below 60% on practice sets,60-69% — know the concepts but mix up details,70-79% — consistent accuracy on most items,80%+ — can teach this to someone else,,10,"=G2*(4-F2)/3",
Cognitive-Affective,Below 60% on practice sets,60-69% — know the concepts but mix up details,70-79% — consistent accuracy on most items,80%+ — can teach this to someone else,,13,"=G3*(4-F3)/3",
Social-Cultural,Below 60% on practice sets,60-69% — know the concepts but mix up details,70-79% — consistent accuracy on most items,80%+ — can teach this to someone else,,11,"=G4*(4-F4)/3",
Growth-Lifespan,Below 60% on practice sets,60-69% — know the concepts but mix up details,70-79% — consistent accuracy on most items,80%+ — can teach this to someone else,,12,"=G5*(4-F5)/3",
Assessment-Diagnosis,Below 60% on practice sets,60-69% — know the concepts but mix up details,70-79% — consistent accuracy on most items,80%+ — can teach this to someone else,,16,"=G6*(4-F6)/3",
Treatment-Intervention,Below 60% on practice sets,60-69% — know the concepts but mix up details,70-79% — consistent accuracy on most items,80%+ — can teach this to someone else,,15,"=G7*(4-F7)/3",
Research-Statistics,Below 60% on practice sets,60-69% — know the concepts but mix up details,70-79% — consistent accuracy on most items,80%+ — can teach this to someone else,,7,"=G8*(4-F8)/3",
Ethics-Legal,Below 60% on practice sets,60-69% — know the concepts but mix up details,70-79% — consistent accuracy on most items,80%+ — can teach this to someone else,,16,"=G9*(4-F9)/3",
,,,,,,,
OVERALL,,,,,"Average:","=AVERAGE(F2:F9)",,
,,,,,"#1 Priority:","=INDEX(A2:A9,MATCH(MAX(H2:H9),H2:H9,0))",,
,,,,,,,
DECISION RULE,,,,,Ready to sit?,"=IF(AND(G11>=3,MIN(F2:F9)>=2),""YES - Schedule your exam"",""NOT YET - Focus on: "" & G12)",
