Question,Answer
"Who writes code, or does other technical work on your product? Was any of it done by a non-founder?","Anders built the working prototype with AI-assisted coding (Claude Code, VS Code). Unity VR scene on Meta Quest 3. Real-time pipeline pulls EEG and heart rate from a Muse S headband through Python (muselsl, pylsl, websockets). A biofeedback orb in the scene responds to the user's physiology live.

Shaunak co-founded the MedVR Symposium and Hackathon for VR/AR in Healthcare in 2019 and has Unity experience from building a patient education tool. He owns the visual safety protocols, eye-tracking metrics, and ophthalmology-side engineering decisions.

All technical work to date has been done by founders. No non-founder contributions."
"Are you looking for a cofounder?","Open for a cofounder in software development.
Current two-founder team:

Anders Chan, clinical psychologist (UCLA postdoc, PsyD Long Island University). Three years of eye-gaze tracking research before clinical training.

Shaunak Bakshi, MD (Harvard), Director of Refractive Services at New England Vision and Vermont Eye Laser. Co-founder of the MedVR Symposium and Hackathon for VR/AR in Healthcare since 2019.

Therapy protocols and visual science, in one team. Both building."
"Company name","Blind Spot.

(Backup names if trademark or domain falls through: Foveal, Saccade.)"
"Describe what your company does in 50 characters or less","VR Therapy that Adapts to Your Nervous System

(47 chars)"
"Company URL","thepsychology.ai/lab/blind-spot (existing site, $300 per month MRR, can serve as a holding URL until rebrand ships)."
"Demo","Saturday's user test video. Tamilyn wears Quest 3 plus Muse S. She breathes slowly. The biofeedback orb expands and shifts from red to green as her heart rate lowers. Forest VR scene. Real EEG and heart rate streaming live."
"What is your company going to make?","Most VR therapy plays a video at you. No feedback, no adaptation. We close the loop.

Blind Spot reads your EEG, heart rate variability, and eye gaze, then changes the VR environment in real time based on what your body is doing. The system knows when you are stressed, when you are calm, and when you are avoiding eye contact. It responds.

Phase 1, now: anxiety and performance. Practice job interviews and public speaking with biofeedback showing your stress response. Toastmasters with brain monitoring. ACT in VR (breathing, defusion, mindfulness) visualized with live physiology. Direct-to-consumer wellness, no FDA needed at this tier.

Phase 2: chronic pain, FDA pathway. EaseVRx is the only FDA-cleared VR therapeutic. n=1,093, 12-month durability data. Pain only. Open-loop. We extend their playbook with closed-loop biofeedback and pursue FDA De Novo. That unlocks insurance reimbursement.

Phase 3 and beyond: PTSD, autism, depression, surgical training. Same engine, different module. Eye gaze alone detects depression at 86 percent accuracy in a single session. Nobody else has this stack.

The team: a clinical psychologist who did three years of eye-tracking research before clinical training, and an ophthalmologist who co-founded the MedVR Symposium six years ago and directs refractive surgery in Vermont."
"Where do you live now, and where would the company be based after YC?","Boston, USA (Anders) and Vermont, USA (Shaunak). Post-YC, primary operations in NY. Clinical pilot sites maintained in Boston and Vermont."
"Explain your decision regarding location","Anders is in Boston. Access to Harvard, MGH, and BU for clinical pilots and research partnerships. Shaunak is in Vermont, practicing ophthalmologist with surgical expertise and a Mass Eye and Ear fellowship still in his network. Post-YC, primary operations move to NY for XR engineering talent and digital health investors. Pilot sites stay in Boston and Vermont."
"How far along are you?","Working prototype on Meta Quest 3. The Muse S headband streams EEG and heart rate through Python (Lab Streaming Layer) into the Unity scene. A biofeedback orb expands and shifts color in response to live physiology. First real user test was Saturday. Video available.

Eye tracking integration and a therapist dashboard are next.

Adjacent traction at thepsychology.ai (Anders' existing site): $300 per month, 4 postdocs have passed the EPPP licensure exam. Same brand currently runs an automated intake, scheduling, insurance verification, and payroll pipeline for Inzinna Therapy Group. Proves we can build, sell, and retain."
